,,,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G2,G2,G2,G2,G2,G2,G2,G2,G2,G4,G4,G4,G4,G4,G4,G4,G4,G4
RAW,x.0.1,x.raw.RMD,1.519899,0.631656,0.118202,0.194903,0.169376,0.185625,0.194486,0.14625,0.409511,0.279142,0.331732,0.059994,0.088279,0.686197,0.324187,0.094163,0.868275,0.2038,0.36756,0.073151,0.323566,2.275327,0.085114,0.230767,0.114867,0.082007,0.381767,0.293652,0.123763,0.083445
RAW,y.0.1,y.raw.RMSD,1.847374,0.679851,0.275537,0.490499,0.10905,1.201486,0.048244,0.222141,0.785284,0.150711,0.665198,0.059994,0.111417,1.22067,0.135257,0.07236,1.331411,0.773275,0.303224,0.194997,0.245687,1.046433,0.097005,0.237093,0.117285,0.174552,0.755605,0.156751,0.155639,0.032174
RAW,x.0.4,x.raw.ApE,0.380394,0.476115,0.619364,0.433429,0.522637,0.420717,0.571033,0.466324,0.445252,0.549923,0.642954,0.684756,0.623166,0.324668,0.636599,0.530269,0.506341,0.292523,0.351209,0.549052,0.372637,0.43836,0.102469,0.583212,0.474915,0.697292,0.405369,0.452281,0.571425,0.680846
RAW,y.0.4,y.raw.ApE,0.301526,0.422694,0.631455,0.319402,0.644185,0.52777,0.52533,0.491469,0.392985,0.522648,0.386165,0.684756,0.38455,0.116853,0.431799,0.534814,0.321643,0.224266,0.282782,0.5159,0.504344,0.400704,0.275955,0.530396,0.439366,0.472016,0.406691,0.462227,0.508933,0.551722
RAW,x.0.5,x.raw.Sap,1.734601,1.481605,1.252763,1.466337,1.791759,0.558136,2.564949,1.145132,0.839751,1.252763,1.791759,2.60269,1.871802,1.312186,1.504077,3.044522,1.343735,0.792238,1.94591,1.299283,1.321756,1.558145,0,1.94591,1.791759,2.525729,1.021651,1.609438,2.079442,1.386294
RAW,y.0.5,y.raw.Sap,1.466337,0.847298,1.098612,1.299283,0.944462,1.058261,1.667707,0.405465,0.81093,1.386294,1.049822,2.60269,1.000632,2.079442,1.029619,1.473306,0.916291,1.163151,0.950976,1.791759,2.302585,0.893818,0,1.791759,0,1.727221,1.558145,1.223775,1.299283,0.854415
F1,x.1.1,x.IMF1.RMSD,0.104879,0.064546,0.028698,0.014583,0.029902,0.050216,0.023267,0.021847,0.0545,0.037456,0.078343,0.017786,0.031658,0.04159,0.055899,0.018821,0.094574,0.016213,0.032093,0.017011,0.035312,0.291578,0,0.034793,0.022554,0.027003,0.078546,0.032916,0.018729,0.019523
F1,y.1.1,y.IMF1.RMSD,0.163481,0.058925,0.076282,0.029066,0.035247,0.199062,0.009715,0.043057,0.077661,0.027271,0.091058,0.017779,0.028934,0.03899,0.020178,0.014257,0.079903,0.033437,0.024001,0.022732,0.072336,0.192003,0.049666,0.041075,0.027678,0.043343,0.092944,0.033894,0.033454,0.00452
F1,x.1.4,x.IMF1.ApE,0.475776,0.515026,0.379383,0.456213,0.473978,0.6194,0.526573,0.445326,0.611056,0.463944,0.37652,0.450569,0.587583,0.756763,0.545698,0.444712,0.74495,0.464933,0.466122,0.572418,0.366819,0.560571,0,0.419905,0.179273,0.503999,0.482669,0.477919,0.499679,0.481248
F1,y.1.4,y.IMF1.ApE,0.496223,0.597243,0.395839,0.409798,0.318478,0.760377,0.465058,0.59661,0.448291,0.381594,0.415703,0.434413,0.377923,0.824724,0.428425,0.454255,0.773778,0.619521,0.55823,0.400132,0.606768,0.265271,-0.06062,0.396251,0.075194,0.462582,0.491078,0.478423,0.524159,0.401662
F1,x.1.5,x.IMF1.Sap,0.661398,1.372308,1.276293,1.819158,1.13498,0.616668,1.547563,1.111858,1.295323,1.526056,0.81093,1.366876,1.457246,1.239905,1.770706,1.234744,1.430189,1.056053,0.893818,1.578185,1.025853,0.623467,0,1.203973,0,1.299283,0.790786,1.916923,1.717651,1.609438
F1,y.1.5,y.IMF1.Sap,1.126011,1.268511,1.098612,1.550597,1.213023,1.024347,1.347074,1.519826,1.252763,1.276293,1.001449,1.347074,0.548566,1.559738,1.339774,1.015921,1.135483,1.425009,2.397895,0.896088,0.685115,0.20137,0,1.285198,1.098612,1.060872,0.966188,0.99683,1.452252,1.558145
F2,x.2.1,x.IMF2.RMSD,0.144703,0.052786,0.032762,0.014045,0.054874,0.032681,0.021527,0.03066,0.081246,0.042074,0.165485,0.018568,0.029328,0.03959,0.052087,0.025844,0.133851,0.027919,0.021708,0.02235,0.027872,0.388029,0,0.051011,0.027336,0.048983,0.132991,0.032241,0.019816,0.027803
F2,y.2.1,y.IMF2.RMSD,0.221405,0.050609,0.093395,0.041136,0.072206,0.174592,0.009068,0.067589,0.059259,0.032411,0.273077,0.018562,0.017874,0.04317,0.022737,0.016637,0.134261,0.058855,0.02683,0.023019,0.101338,0.378597,0,0.028407,0.017314,0.023895,0.100702,0.036633,0.023018,0.005785
F2,x.2.4,x.IMF2.ApE,0.398331,0.393692,0.296535,0.259751,0.316926,0.549596,0.287026,0.376017,0.453393,0.502141,0.268088,0.427007,0.306437,0.509641,0.346007,0.335914,0.590382,0.397541,0.266351,0.381744,0.359815,0.294062,0,0.303447,0.085225,0.242771,0.266663,0.356457,0.272369,0.408831
F2,y.2.4,y.IMF2.ApE,0.305118,0.410465,0.33601,0.427218,0.232931,0.598919,0.439002,0.329435,0.285109,0.327987,0.301851,0.399413,0.297253,0.568334,0.239056,0.359681,0.494754,0.4354,0.367464,0.310818,0.437454,0.159965,0,0.29983,0.079616,0.300173,0.275061,0.464812,0.338982,0.280431
F2,x.2.5,x.IMF2.Sap,0.591364,1.196251,0.759105,2.564949,0.971861,0.852996,1.170071,0.824175,0.891598,0.944462,0.36179,1.88707,1.041454,0.753772,1.203973,0.658056,0.835895,1.308333,1.15268,1.329136,1.455287,0.426408,0,0.998529,1.386294,1.056053,0.47184,0.875469,1.94591,1.060872
F2,y.2.5,y.IMF2.Sap,0.816761,1.019831,0.725937,0.81093,0.581922,0.935461,1.558145,0.693147,0.672094,1.287854,0.59652,2.014903,0.449525,0.83848,0.646627,0.980829,0.552918,1.023389,1.312186,1.128465,0.598313,0.157186,0,2.833213,0.231112,0.646627,0.777705,1.133098,1.609438,0.578078
